log_domestic_box_office,log_worldwide_box_office,log_max_theaters,log_opening_theaters,log_budget,log_opening_weekend,release_year,release_month,running_time_minutes,is_franchise,mpaa_rating,genre,source,production_method,creative_type
19.74167644443518,20.494969191218036,8.334951631422454,8.331586243630754,19.11382792951231,18.29462111660962,2004.0,6.0,127.0,1,PG-13,Adventure,Based on Comic/Graphic Novel,Live Action,Super Hero
19.727966810542256,20.46515927080378,8.393442383980062,8.393442383980062,19.11382792951231,18.713414721515445,2022.0,3.0,175.0,1,PG-13,Action,Based on Comic/Graphic Novel,Live Action,Super Hero
19.627223575926237,20.748437467472296,8.226840890408578,8.22389538017882,19.11382792951231,18.569971266611997,2010.0,3.0,108.0,1,PG,Adventure,Based on Fiction Book/Short Story,"Animation,Live Action",Fantasy
19.533722682664216,20.828100498167025,8.168202930236053,8.16223106548118,19.11382792951231,18.296983296341963,2012.0,10.0,143.0,1,PG-13,Action,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction
19.52925514228216,20.738093901794382,8.31898612539206,8.305484017727691,19.11382792951231,18.253649342668293,2012.0,12.0,169.0,1,PG-13,Adventure,Based on Fiction Book/Short Story,"Animation,Live Action",Fantasy
19.40831800728147,20.426819888338983,8.29529885950246,8.29529885950246,19.11382792951231,18.227453576570813,2013.0,6.0,102.0,1,G,Adventure,Original Screenplay,Digital Animation,Kids Fiction
19.27412111614222,20.010648439915684,8.272059622210412,8.272059622210412,19.11382792951231,18.18635558582576,2013.0,3.0,130.0,1,PG,Adventure,Spin-Off,"Animation,Live Action",Fantasy
19.27049629657666,20.432730064563454,8.294549515143679,8.293299358711323,19.11382792951231,18.324430393325926,2014.0,5.0,131.0,1,PG-13,Action,Based on Comic/Graphic Novel,Live Action,Super Hero
19.215792984128175,20.258045854993867,8.31898612539206,8.31898612539206,19.11382792951231,17.38248691938106,2024.0,12.0,118.0,1,PG,Musical,Original Screenplay,"Animation,Live Action",Kids Fiction
19.183852510265687,19.954608818385513,8.377011160816375,8.377011160816375,19.11382792951231,18.479983560804687,2023.0,2.0,124.0,1,PG-13,Action,Based on Comic/Graphic Novel,"Animation,Live Action",Super Hero
19.13132566229616,20.38031450202518,8.37216741936598,8.37216741936598,19.11382792951231,18.333032851702598,2014.0,4.0,141.0,1,PG-13,Action,Based on Comic/Graphic Novel,Live Action,Super Hero
19.07014181148432,20.143724774633963,8.32263709695394,8.32263709695394,19.11382792951231,18.007216346670816,2011.0,6.0,107.0,1,G,Adventure,Original Screenplay,Digital Animation,Kids Fiction
19.028551347341487,19.755026680344205,8.360773272144936,8.333510708982942,19.11382792951231,18.202105653809983,2021.0,7.0,133.0,1,PG-13,Action,Based on Comic/Graphic Novel,Live Action,Super Hero
18.97431833229417,20.44979290416287,8.376781037699493,8.355614995760183,19.11382792951231,17.91050409289136,2019.0,7.0,134.0,1,PG-13,Action,Spin-Off,Live Action,Contemporary Fiction
18.968836521813618,20.39387258170808,8.343791731996841,8.338066525518801,19.11382792951231,18.0646222671016,2021.0,5.0,145.0,1,PG-13,Action,Original Screenplay,Live Action,Contemporary Fiction
18.963369875192114,19.80664054911465,8.146709052203319,8.146709052203319,19.11382792951231,17.60029574178021,2010.0,12.0,125.0,1,PG,Adventure,Original Screenplay,Live Action,Science Fiction
