model,term,coef,std_error,p_value,ci_low,ci_high,stars
M3 Worldwide box office,C(release_year)[T.2014],-1.050607,360.533347,0.997675,-707.682983,705.58177,
M3 Worldwide box office,C(release_year)[T.2015],-1.136732,360.533348,0.997484,-707.769109,705.495646,
M3 Worldwide box office,C(release_year)[T.2016],-1.190328,360.533349,0.997366,-707.822706,705.442051,
M3 Worldwide box office,C(release_year)[T.2017],-1.111184,360.533348,0.997541,-707.743561,705.521193,
M3 Worldwide box office,C(release_year)[T.2018],-1.17762,360.533347,0.997394,-707.809995,705.454756,
M3 Worldwide box office,C(release_year)[T.2019],-1.249188,360.53335,0.997235,-707.881569,705.383193,
M3 Worldwide box office,C(release_year)[T.2020],-1.750972,360.53338,0.996125,-708.383413,704.881469,
M3 Worldwide box office,C(release_year)[T.2021],-1.715816,360.533358,0.996203,-708.348213,704.91658,
M3 Worldwide box office,C(release_year)[T.2022],-1.336543,360.533358,0.997042,-707.968941,705.295854,
M3 Worldwide box office,C(release_year)[T.2023],-1.311791,360.533356,0.997097,-707.944183,705.320601,
M3 Worldwide box office,C(release_year)[T.2024],-1.319427,360.533358,0.99708,-707.951825,705.312971,
M3 Worldwide box office,C(release_year)[T.2025],-1.963649,362.982174,0.995684,-713.395636,709.468339,
M3 Worldwide box office,platform_release,-0.058738,0.106438,0.581051,-0.267353,0.149877,
M3 Worldwide box office,log_opening_theaters,0.653528,0.022746,0.0,0.608946,0.69811,***
M3 Worldwide box office,log_expansion_ratio,0.787487,0.041132,0.0,0.70687,0.868104,***
M3 Worldwide box office,imdb_rating_num,0.413888,0.019173,0.0,0.37631,0.451466,***
M3 Worldwide box office,log_budget,0.413509,0.019653,0.0,0.37499,0.452027,***
M3 Worldwide box office,is_franchise,0.738373,0.032449,0.0,0.674775,0.801971,***
M4 ROI,Intercept,54.049553,80.169882,0.500192,-103.080528,211.179634,
M4 ROI,C(genre_fe)[T.Adventure],0.623099,0.188984,0.000977,0.252697,0.993501,***
M4 ROI,C(genre_fe)[T.Black Comedy],-1.281706,0.51393,0.012634,-2.288989,-0.274422,*
M4 ROI,C(genre_fe)[T.Comedy],-0.607346,0.249242,0.014819,-1.095851,-0.118842,*
M4 ROI,C(genre_fe)[T.Documentary],-0.330395,1.442557,0.818842,-3.157756,2.496965,
M4 ROI,C(genre_fe)[T.Drama],-0.697591,0.247773,0.004871,-1.183217,-0.211965,**
M4 ROI,C(genre_fe)[T.Horror],0.849031,0.385107,0.027478,0.094236,1.603826,*
M4 ROI,C(genre_fe)[T.Musical],1.21604,0.637706,0.056534,-0.033841,2.465921,+
M4 ROI,C(genre_fe)[T.Other],2.239778,2.376788,0.346011,-2.418641,6.898196,
M4 ROI,C(genre_fe)[T.Romantic Comedy],0.022197,0.34596,0.948842,-0.655871,0.700266,
M4 ROI,C(genre_fe)[T.Thriller/Suspense],-0.646634,0.239528,0.006942,-1.116101,-0.177167,**
M4 ROI,C(genre_fe)[T.Western],-0.558253,0.530367,0.292534,-1.597752,0.481247,
M4 ROI,C(release_year)[T.1974],-18.986468,686.471741,0.977935,-1364.446357,1326.473422,
M4 ROI,C(release_year)[T.1975],-0.454443,80.188265,0.995478,-157.620554,156.711668,
M4 ROI,C(release_year)[T.1976],-24.202802,80.25623,0.762981,-181.502122,133.096517,
M4 ROI,C(release_year)[T.1977],-17.787823,90.799308,0.844686,-195.751196,160.175549,
M4 ROI,C(release_year)[T.1978],-15.73409,80.660024,0.845341,-173.824831,142.356652,
M4 ROI,C(release_year)[T.1979],-24.234303,80.15179,0.762381,-181.328926,132.860319,
M4 ROI,C(release_year)[T.1980],-23.646325,80.24608,0.768244,-180.925751,133.633102,
M4 ROI,C(release_year)[T.1981],-25.816558,80.157124,0.747396,-182.921634,131.288518,
M4 ROI,C(release_year)[T.1982],-24.746202,80.188806,0.757626,-181.913373,132.420969,
M4 ROI,C(release_year)[T.1983],-24.443937,80.19386,0.76051,-181.621013,132.73314,
M4 ROI,C(release_year)[T.1984],-25.393315,80.150967,0.751381,-182.486324,131.699695,
M4 ROI,C(release_year)[T.1985],-24.232744,80.189012,0.762503,-181.400319,132.934832,
